,auroc_px,auroc_im,f1_px,f1_im,ap_px,ap_im
bottle,90.78,97.46,60.79,95.08,62.48,99.26
cable,78.26,63.84,26.55,76.03,20.21,78.90
capsule,95.21,84.52,35.92,91.70,30.74,96.60
carpet,98.92,100.00,67.36,100.00,70.93,100.00
grid,97.03,97.58,39.02,96.61,34.22,99.07
hazelnut,96.54,86.50,42.11,84.72,42.52,92.66
leather,99.29,99.86,47.70,99.46,50.97,99.95
metal_nut,74.45,67.50,35.29,89.42,24.47,92.35
pill,87.72,88.93,35.68,93.96,32.20,97.66
screw,98.25,87.59,38.48,90.53,34.64,94.71
tile,91.13,99.96,61.89,99.41,63.89,99.99
toothbrush,94.71,90.28,37.87,89.66,34.61,96.66
transistor,57.80,86.83,17.34,78.65,10.91,87.44
wood,92.58,99.12,55.98,97.44,56.40,99.74
zipper,95.80,99.04,57.24,97.93,54.63,99.74
Average,89.90,89.93,43.95,92.04,41.59,95.65
